243	142586
244	1898203
245	142586
246	2320115
247	1898203
248	1898203
249	1512
250	1898203
251	1898203
252	297314
253	1898203
254	297314
255	1801747
256	1798586
257	1798590
258	1798598
259	1798589
260	1798620
261	1798591
262	1802516
263	1798622
264	2052151
265	2052151
266	1801897
267	1802624
268	1802062
269	1802495
270	1802484
271	1802032
272	1802659
273	1802658
274	1802663
275	1797540
276	1974525
277	1802039
278	1802025
279	1802038
280	1802027
281	1802031
282	2282149
283	1802064
284	1797765
285	1802202
286	1802024
287	1797711
288	1801863
289	1797209
290	1802616
291	1797727
292	1802660
293	2052154
294	2053589
295	2052154
296	1802067
297	1802661
298	1802665
299	1802617
300	1798607
301	1801743
302	1802602
303	1802680
304	1802664
305	2052154
306	1618425
307	1802502
308	1797535
309	1802668
310	2052154
311	2052154
312	2052154
313	1817831
314	1802669
315	1802662
316	1801821
317	1801826
318	1798550
319	1817749
320	1817823
321	1798327
322	1798330
323	1798331
324	1798352
325	1798334
326	1798322
327	1817819
328	1817824
329	1798380
330	1817738
331	1802276
332	1797690
333	1802362
334	1802446
335	1798537
336	2052139
337	1797593
338	1802700
339	1802145
340	1817828
341	1817722
342	1801829
343	1802265
344	1797591
345	1802723
346	1802728
347	1798493
348	1802266
349	1798549
350	1802564
351	2575572
352	1798652
353	1802363
354	1797946
355	1797945
356	1797947
357	2030800
358	1802385
359	2052139
360	1797941
361	1801712
362	2026887
363	1802205
364	1801607
365	1801608
366	2052166
367	2052166
368	1797768
369	1798602
370	1802615
371	1817877
372	1797770
373	1797802
374	1798382
375	1798561
376	1974614
377	1798371
378	1798383
379	1797920
380	2030800
381	1798376
382	1797858
383	1817736
384	2017172
385	1798384
386	1798403
387	1798404
388	2528272
389	1798268
390	1798278
391	1798275
392	1798270
393	1974020
394	2026799
395	1913989
396	1802298
397	1869227
398	1802043
399	2026804
400	1801668
401	1802203
402	2053617
403	2053617
404	1797862
405	1618876
406	1802309
407	1798679
408	1797687
409	1797302
410	1801854
411	1801855
412	1797598
413	1973936
414	1817832
415	1802301
416	1802312
417	1802684
418	1802137
419	1798291
420	1801851
421	1798553
422	1802121
423	1801898
424	1802302
425	2017176
426	1802409
427	2052178
428	1801913
429	1974788
430	1797807
431	1801949
432	1798674
433	2026717
434	2026717
435	2026717
436	2026717
437	1801919
438	1801823
439	1801858
440	2035772
441	2035772
442	2035772
443	1801914
444	1802274
445	1802389
446	1798421
447	1798298
448	1913989
449	1797542
450	1802021
451	1798300
452	1913989
453	1797180
