59	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	1-14-0-10-34-76	1-14-0-10-34-76 sp002763075
60	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	1-14-0-10-34-76	1-14-0-10-34-76 sp020724955
61	Bacteria	Patescibacteria	ABY1	UBA2196	UBA2196	1-14-0-10-36-11	1-14-0-10-36-11 sp002778535
62	Bacteria	Patescibacteria	Paceibacteria	2-02-FULL-40-12	IGHO2-01-FULL-4-A	1-14-0-10-36-16	1-14-0-10-36-16 sp002794035
63	Bacteria	Patescibacteria	Gracilibacteria	UBA1369	LOWO2-01-FULL-3	1-14-0-10-36-19	1-14-0-10-36-19 sp002772535
64	Bacteria	Patescibacteria	ABY1	Magasanikbacterales	GWA2-37-8	1-14-0-10-36-32	1-14-0-10-36-32 sp002778465
65	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	ARS49	1-14-0-10-37-12	1-14-0-10-37-12 sp002762795
66	Bacteria	Patescibacteria	ABY1	BM507	UBA917	1-14-0-10-37-14	1-14-0-10-37-14 sp002778705
67	Bacteria	Patescibacteria	Paceibacteria	UBA6257	1-14-0-10-40-38	1-14-0-10-40-38	1-14-0-10-40-38 sp002773535
68	Bacteria	Patescibacteria	Doudnabacteria	UBA920	2-01-FULL-50-11	1-14-0-10-41-10	1-14-0-10-41-10 sp002773695
69	Bacteria	Patescibacteria	UBA1384	UBA1384	1-14-0-10-41-12	1-14-0-10-41-12	1-14-0-10-41-12 sp002778735
70	Bacteria	Patescibacteria	Paceibacteria	UBA6257	Colwellbacteraceae	1-14-0-10-41-28	1-14-0-10-41-28 sp002773755
71	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	1-14-0-10-42-12	1-14-0-10-42-12	1-14-0-10-42-12 sp002787695
72	Bacteria	Patescibacteria	Paceibacteria	UBA9983	1-14-0-10-42-19	1-14-0-10-42-19	1-14-0-10-42-19 sp002774705
73	Bacteria	Patescibacteria	Paceibacteria	UBA6257	Colwellbacteraceae	1-14-0-10-42-22	1-14-0-10-42-22 sp002773725
74	Bacteria	Patescibacteria	Paceibacteria	UBA6257	Colwellbacteraceae	1-14-0-10-42-22	1-14-0-10-42-22 sp018826645
75	Bacteria	Patescibacteria	ABY1	BM507	XYC2-FULL-47-12	1-14-0-10-43-10	1-14-0-10-43-10 sp002773655
76	Bacteria	Patescibacteria	ABY1	BM507	XYC2-FULL-47-12	1-14-0-10-43-11	1-14-0-10-43-11 sp002778635
77	Bacteria	Patescibacteria	UBA1384	XYA2-FULL-43-10	1-14-0-10-43-13	1-14-0-10-43-13	1-14-0-10-43-13 sp002773985
78	Bacteria	Patescibacteria	Paceibacteria	Ryanbacterales	2-02-FULL-48-12	1-14-0-10-43-42	1-14-0-10-43-42 sp002793915
79	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA12501	1-14-0-10-44-13	1-14-0-10-44-13 sp002762985
80	Bacteria	Patescibacteria	Paceibacteria	UBA6257	1-14-0-10-44-23	1-14-0-10-44-23	1-14-0-10-44-23 sp002773475
81	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2103	1-14-0-10-45-20	1-14-0-10-45-20 sp002773335
82	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2103	1-14-0-10-45-20	1-14-0-10-45-20 sp004296925
83	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2103	1-14-0-10-45-20	1-14-0-10-45-20 sp004322365
84	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2103	1-14-0-10-45-20	1-14-0-10-45-20 sp007378985
85	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2103	1-14-0-10-45-20	1-14-0-10-45-20 sp018970425
86	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2103	1-14-0-10-45-20	1-14-0-10-45-20 sp019246385
87	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2103	1-14-0-10-45-20	1-14-0-10-45-20 sp019752595
88	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2103	1-14-0-10-45-20	1-14-0-10-45-20 sp023269035
89	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2103	1-14-0-10-45-20	1-14-0-10-45-20 sp023653145
90	Archaea	Micrarchaeota	Micrarchaeia	Anstonellales	Anstonellaceae	1-14-0-10-45-29	1-14-0-10-45-29 sp002778455
91	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	1-14-0-10-45-34	1-14-0-10-45-34	1-14-0-10-45-34 sp002778785
92	Bacteria	Patescibacteria	Paceibacteria	2-02-FULL-40-12	IGHO2-12-FULL-4	1-14-0-10-46-23	1-14-0-10-46-23 sp002771135
93	Bacteria	Patescibacteria	Paceibacteria	UBA9983	1-14-0-10-42-19	1-14-0-10-46-36	1-14-0-10-46-36 sp002772995
94	Bacteria	Patescibacteria	Paceibacteria	UBA9983	1-14-0-10-42-19	1-14-0-10-46-36	1-14-0-10-46-36 sp016204155
95	Bacteria	Patescibacteria	ABY1	Magasanikbacterales	UBA922	1-14-0-10-47-10	1-14-0-10-47-10 sp002773135
96	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA918	1-14-0-10-47-16	1-14-0-10-47-16 sp002773395
97	Bacteria	Patescibacteria	ABY1	GWA2-46-9	GWA2-46-9	1-14-0-10-48-11	1-14-0-10-48-11 sp002793855
98	Bacteria	Patescibacteria	Paceibacteria	UBA6257	1-14-0-10-44-23	1-14-0-10-49-15	1-14-0-10-49-15 sp002773415
99	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	JABMNX01	1-14-0-10-49-17	1-14-0-10-49-17 sp002778575
